# Program:featureCounts v1.6.3; Command:"featureCounts" "-a" "../SDv2.2_Genes.gff" "-F" "GFF" "-t" "mRNA" "-g" "Parent" "-s" "1" "-o" "counts/3.5-4.txt" "starmapping/3.5-4_S21Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	starmapping/3.5-4_S21Aligned.sortedByCoord.out.bam
TCAL_13955	Chromosome_12	14193535	14195016	+	1482	29
TCAL_13953	Chromosome_12	11651295	11654218	+	2924	3
TCAL_13951	Chromosome_12	9285935	9307642	+	21708	1315
TCAL_13958	Chromosome_12	11916653	11918336	-	1684	3
TCAL_12397	Chromosome_12	615824	626862	+	11039	0
TCAL_12398	Chromosome_12	611458	612255	-	798	0
TCAL_12722	Chromosome_12	11793480	11798158	-	4679	65
TCAL_12946	Chromosome_12	11975608	11977916	-	2309	59
TCAL_12947	Chromosome_12	11972034	11972746	+	713	3213
TCAL_12945	Chromosome_12	11973568	11987847	+	14280	1121
TCAL_12949	Chromosome_12	11941418	11951877	+	10460	4
TCAL_04566	Chromosome_12	3597286	3600690	+	3405	78
TCAL_04543	Chromosome_12	1056812	1065175	-	8364	155
TCAL_04545	Chromosome_12	1079673	1080392	-	720	3740
TCAL_04544	Chromosome_12	1075214	1083705	+	8492	352
TCAL_13720	Chromosome_12	12195406	12201502	-	6097	710
TCAL_03010	Chromosome_12	7412487	7510462	-	97976	52
TCAL_12230	Chromosome_12	4375208	4376205	-	998	0
TCAL_12007	Chromosome_12	3927339	3928001	-	663	0
TCAL_06312	Chromosome_12	4691171	4693358	+	2188	13
TCAL_06313	Chromosome_12	4706525	4711319	+	4795	33
TCAL_06311	Chromosome_12	4680307	4695239	-	14933	448
TCAL_06314	Chromosome_12	4719919	4731045	+	11127	94
TCAL_06315	Chromosome_12	4743851	4745688	+	1838	5
TCAL_04318	Chromosome_12	5076208	5082454	-	6247	301
TCAL_04319	Chromosome_12	5085187	5090997	-	5811	389
TCAL_04312	Chromosome_12	5014167	5028103	+	13937	54
TCAL_04313	Chromosome_12	5025426	5030541	-	5116	7
TCAL_04314	Chromosome_12	5039605	5045913	-	6309	35
TCAL_04315	Chromosome_12	5046700	5049622	-	2923	28
TCAL_04316	Chromosome_12	5051205	5058369	-	7165	130
TCAL_04317	Chromosome_12	5060938	5076179	+	15242	160
TCAL_15473	Chromosome_12	14359319	14360607	-	1289	0
TCAL_15472	Chromosome_12	14310835	14323209	+	12375	9
TCAL_15471	Chromosome_12	14302807	14303889	+	1083	3
TCAL_15470	Chromosome_12	14295280	14295608	+	329	0
TCAL_15477	Chromosome_12	15293131	15294983	-	1853	0
TCAL_15476	Chromosome_12	15294984	15295605	-	622	0
TCAL_15475	Chromosome_12	14969673	14971196	-	1524	0
TCAL_15474	Chromosome_12	1519168	1519472	+	305	0
TCAL_15479	Chromosome_12	15789731	15791458	-	1728	0
TCAL_15478	Chromosome_12	15781120	15781778	-	659	0
TCAL_12009	Chromosome_12	3941929	3943733	-	1805	0
TCAL_13069	Chromosome_12	7771482	7773219	-	1738	0
TCAL_13525	Chromosome_12	17496648	17499868	-	3221	0
TCAL_13524	Chromosome_12	17511090	17516537	+	5448	105
TCAL_11741	Chromosome_12	17416599	17431172	+	14574	25
TCAL_11740	Chromosome_12	17431491	17461211	-	29721	107
TCAL_11743	Chromosome_12	17410210	17411764	-	1555	108
TCAL_11742	Chromosome_12	17413415	17415253	+	1839	63
TCAL_11745	Chromosome_12	17386691	17394787	+	8097	2
TCAL_11744	Chromosome_12	17400256	17405875	-	5620	525
TCAL_13299	Chromosome_12	2375602	2389516	+	13915	645
TCAL_13298	Chromosome_12	2361399	2370183	+	8785	560
TCAL_10173	Chromosome_12	3411116	3411680	-	565	57
TCAL_10172	Chromosome_12	3396474	3397163	+	690	0
TCAL_10175	Chromosome_12	3413997	3428555	-	14559	3
TCAL_10174	Chromosome_12	3411736	3414032	+	2297	14
TCAL_10177	Chromosome_12	3472556	3483225	+	10670	267
TCAL_10176	Chromosome_12	3467699	3472110	-	4412	32
TCAL_10178	Chromosome_12	3503539	3507412	+	3874	21
TCAL_04336	Chromosome_12	5239895	5256480	+	16586	358
TCAL_04337	Chromosome_12	5259400	5261890	-	2491	6256
TCAL_04334	Chromosome_12	5216571	5232563	-	15993	132
TCAL_04332	Chromosome_12	5197609	5213487	-	15879	1446
TCAL_04333	Chromosome_12	5210531	5212734	+	2204	55
TCAL_04330	Chromosome_12	5173602	5176470	+	2869	13
TCAL_04331	Chromosome_12	5183162	5187473	+	4312	2375
TCAL_04338	Chromosome_12	5263431	5265812	+	2382	100
TCAL_04339	Chromosome_12	5267259	5271728	-	4470	513
TCAL_12799	Chromosome_12	12526488	12526922	+	435	923
TCAL_12798	Chromosome_12	12548612	12549101	+	490	3652
TCAL_14508	Chromosome_12	5985491	5987242	+	1752	8
TCAL_14509	Chromosome_12	5905676	5908304	-	2629	1
TCAL_14504	Chromosome_12	5551230	5551644	-	415	4
TCAL_14505	Chromosome_12	5893150	5893856	-	707	0
TCAL_14506	Chromosome_12	5901194	5902379	+	1186	0
TCAL_15459	Chromosome_12	13340672	13340946	-	275	0
TCAL_15458	Chromosome_12	1298687	1300333	-	1647	11513
TCAL_15451	Chromosome_12	12058942	12063376	-	4435	182
TCAL_15450	Chromosome_12	11971227	11971917	+	691	606
TCAL_15453	Chromosome_12	12207349	12215621	+	8273	339
TCAL_15452	Chromosome_12	12078105	12084508	+	6404	273
TCAL_15455	Chromosome_12	12643464	12644249	+	786	0
TCAL_15454	Chromosome_12	12270133	12270550	+	418	4
TCAL_15457	Chromosome_12	12803775	12804297	+	523	0
TCAL_15456	Chromosome_12	12660934	12663957	+	3024	19
TCAL_02990	Chromosome_12	7258731	7264515	+	5785	60
TCAL_02992	Chromosome_12	7278417	7279961	-	1545	7
TCAL_02993	Chromosome_12	7282969	7286655	-	3687	9
TCAL_02994	Chromosome_12	7287096	7288302	+	1207	0
TCAL_02995	Chromosome_12	7288988	7289945	+	958	3
TCAL_02996	Chromosome_12	7289867	7300327	-	10461	2
TCAL_02998	Chromosome_12	7301571	7323246	+	21676	13
TCAL_02999	Chromosome_12	7325858	7330573	-	4716	274
TCAL_13889	Chromosome_12	1211689	1212234	+	546	4
TCAL_13080	Chromosome_12	14223093	14234310	+	11218	9021
TCAL_04347	Chromosome_12	5354922	5357126	+	2205	6
TCAL_13501	Chromosome_12	13739859	13747166	-	7308	685
TCAL_13500	Chromosome_12	13750171	13760429	+	10259	30
TCAL_09889	Chromosome_12	1930067	1957104	+	27038	393
TCAL_09887	Chromosome_12	1899980	1902085	-	2106	10
TCAL_09886	Chromosome_12	1889580	1895590	+	6011	360
TCAL_09885	Chromosome_12	1880396	1889433	+	9038	104
TCAL_09882	Chromosome_12	1820824	1827131	+	6308	13
TCAL_09880	Chromosome_12	1798104	1811017	-	12914	219
TCAL_17458	Chromosome_12	7603387	7604366	+	980	0
TCAL_13778	Chromosome_12	7454252	7459794	+	5543	21
TCAL_06357	Chromosome_12	1393576	1400120	+	6545	47
TCAL_12040	Chromosome_12	272536	274602	-	2067	6408
TCAL_04862	Chromosome_12	17551149	17559337	+	8189	4417
TCAL_04863	Chromosome_12	17542081	17549130	-	7050	118
TCAL_04860	Chromosome_12	17579261	17582125	-	2865	1148
TCAL_14529	Chromosome_12	8492085	8496349	+	4265	0
TCAL_14522	Chromosome_12	6727429	6733286	+	5858	7
TCAL_14523	Chromosome_12	6782107	6787335	+	5229	29
TCAL_14520	Chromosome_12	6407129	6408385	-	1257	0
TCAL_14521	Chromosome_12	6633710	6635328	-	1619	3
TCAL_14526	Chromosome_12	7363052	7366131	+	3080	10
TCAL_14527	Chromosome_12	7856366	7859463	+	3098	0
TCAL_14524	Chromosome_12	6882310	6883712	-	1403	0
TCAL_14525	Chromosome_12	6904139	6912270	-	8132	19
TCAL_04718	Chromosome_12	17107697	17110909	+	3213	37
TCAL_04719	Chromosome_12	17083920	17110861	-	26942	53
TCAL_04714	Chromosome_12	17181608	17188417	+	6810	161
TCAL_04715	Chromosome_12	17174090	17177788	+	3699	896
TCAL_04716	Chromosome_12	17154575	17167007	-	12433	55
TCAL_04717	Chromosome_12	17149118	17154047	+	4930	2002
TCAL_04710	Chromosome_12	17239237	17242972	-	3736	4
TCAL_04712	Chromosome_12	17214198	17226100	+	11903	403
TCAL_04713	Chromosome_12	17192866	17200145	+	7280	992
TCAL_07748	Chromosome_12	8760282	8766499	+	6218	42
TCAL_07749	Chromosome_12	8725012	8751663	-	26652	269
TCAL_07741	Chromosome_12	8926234	8927318	-	1085	26
TCAL_07746	Chromosome_12	8787141	8790552	+	3412	148
TCAL_07747	Chromosome_12	8768238	8785446	+	17209	1516
TCAL_07745	Chromosome_12	8787145	8804938	-	17794	76
TCAL_16789	Chromosome_12	9169294	9172406	+	3113	204
TCAL_16784	Chromosome_12	7021297	7024630	+	3334	1345
TCAL_12735	Chromosome_12	12293492	12305469	-	11978	14
TCAL_16786	Chromosome_12	7222138	7227433	+	5296	1
TCAL_16787	Chromosome_12	8290582	8298184	+	7603	4
TCAL_16780	Chromosome_12	6821737	6828570	-	6834	4
TCAL_16781	Chromosome_12	6881201	6881869	-	669	0
TCAL_16782	Chromosome_12	6966073	6966952	-	880	0
TCAL_16783	Chromosome_12	769717	788664	+	18948	206
TCAL_15551	Chromosome_12	9273346	9276713	+	3368	0
TCAL_04808	Chromosome_12	1679679	1682679	+	3001	430
TCAL_04809	Chromosome_12	1684994	1696263	-	11270	38
TCAL_04801	Chromosome_12	1541089	1550254	+	9166	49
TCAL_04802	Chromosome_12	1551313	1552414	-	1102	167
TCAL_04803	Chromosome_12	1553715	1614902	+	61188	525
TCAL_04804	Chromosome_12	1600287	1606557	-	6271	25
TCAL_04805	Chromosome_12	1620008	1622462	+	2455	71
TCAL_04806	Chromosome_12	1629502	1631784	+	2283	411
TCAL_04807	Chromosome_12	1631821	1666542	-	34722	841
TCAL_15499	Chromosome_12	17793635	17794452	+	818	0
TCAL_15498	Chromosome_12	17775356	17775995	+	640	0
TCAL_15495	Chromosome_12	16859907	16879705	-	19799	1
TCAL_15494	Chromosome_12	16790976	16799453	+	8478	3
TCAL_15497	Chromosome_12	17267081	17267336	-	256	2
TCAL_15496	Chromosome_12	17229573	17232491	-	2919	16
TCAL_15491	Chromosome_12	16601016	16601389	-	374	0
TCAL_15490	Chromosome_12	16575017	16580655	+	5639	0
TCAL_15493	Chromosome_12	16757083	16757615	-	533	0
TCAL_15492	Chromosome_12	16685615	16686648	-	1034	0
TCAL_04732	Chromosome_12	16883890	16896391	+	12502	2
TCAL_04733	Chromosome_12	16835544	16845688	+	10145	3
TCAL_04730	Chromosome_12	16898939	16902634	-	3696	5
TCAL_04731	Chromosome_12	16904391	16905703	+	1313	233
TCAL_13336	Chromosome_12	10546687	10557678	-	10992	10
TCAL_13337	Chromosome_12	10529477	10536939	-	7463	7
TCAL_02959	Chromosome_12	6997139	6998717	-	1579	264
TCAL_03008	Chromosome_12	7398991	7401296	+	2306	110
TCAL_03001	Chromosome_12	7341685	7344703	+	3019	376
TCAL_17444	Chromosome_12	4793159	4795214	-	2056	467
TCAL_13222	Chromosome_12	4804315	4806342	+	2028	626
TCAL_14042	Chromosome_12	12605351	12605860	+	510	489
TCAL_08829	Chromosome_12	7833277	7841619	+	8343	6
TCAL_08822	Chromosome_12	7890642	7893057	-	2416	14
TCAL_08823	Chromosome_12	7887503	7888164	-	662	1
TCAL_08820	Chromosome_12	7920403	7924698	+	4296	504
TCAL_08821	Chromosome_12	7902949	7907571	-	4623	288
TCAL_08826	Chromosome_12	7860183	7860872	+	690	2
TCAL_08827	Chromosome_12	7966551	7967168	+	618	1
TCAL_08824	Chromosome_12	7877474	7888195	+	10722	423
TCAL_08825	Chromosome_12	7865155	7876798	-	11644	270
TCAL_10481	Chromosome_12	5816452	5829779	-	13328	1
TCAL_10480	Chromosome_12	5842806	5848008	-	5203	445
TCAL_10483	Chromosome_12	5780697	5782542	-	1846	645
TCAL_10482	Chromosome_12	5790651	5804390	-	13740	114
TCAL_10485	Chromosome_12	5761968	5765105	+	3138	1001
TCAL_10484	Chromosome_12	5767994	5770399	-	2406	0
TCAL_10487	Chromosome_12	5745462	5749360	+	3899	318
TCAL_10486	Chromosome_12	5753811	5755508	+	1698	610
TCAL_10489	Chromosome_12	5723204	5727276	+	4073	1872
TCAL_10488	Chromosome_12	5738585	5742781	-	4197	3
TCAL_05488	Chromosome_12	12750114	12757958	-	7845	4
TCAL_13350	Chromosome_12	11265232	11266209	-	978	0
TCAL_13351	Chromosome_12	11296695	11301052	-	4358	7
TCAL_13352	Chromosome_12	11329456	11333605	+	4150	678
TCAL_13353	Chromosome_12	11335662	11340941	+	5280	422
TCAL_13355	Chromosome_12	4205231	4213252	-	8022	1
TCAL_02972	Chromosome_12	7106865	7117166	+	10302	217
TCAL_02973	Chromosome_12	7119450	7132513	+	13064	16
TCAL_02970	Chromosome_12	7064717	7066891	+	2175	469
TCAL_02971	Chromosome_12	7096169	7105960	+	9792	63
TCAL_02976	Chromosome_12	7147066	7154029	-	6964	183
TCAL_02977	Chromosome_12	7156621	7158841	+	2221	246
TCAL_02974	Chromosome_12	7123628	7126420	-	2793	7
TCAL_02975	Chromosome_12	7135663	7147054	+	11392	208
TCAL_02978	Chromosome_12	7156621	7158841	-	2221	351
TCAL_02979	Chromosome_12	7159617	7178915	+	19299	26
TCAL_09572	Chromosome_12	15772891	15776348	+	3458	25
TCAL_09571	Chromosome_12	15762575	15769670	+	7096	2
TCAL_09570	Chromosome_12	15751657	15757500	+	5844	2
TCAL_14025	Chromosome_12	16038135	16038856	+	722	921
TCAL_15510	Chromosome_12	2964712	2968031	-	3320	14
TCAL_15511	Chromosome_12	2979912	2989608	-	9697	30
TCAL_15512	Chromosome_12	3144190	3150312	+	6123	1
TCAL_15513	Chromosome_12	3203785	3214288	+	10504	0
TCAL_15514	Chromosome_12	3165782	3171426	-	5645	2
TCAL_15515	Chromosome_12	3296146	3309111	-	12966	30
TCAL_15516	Chromosome_12	3452886	3455877	-	2992	3
TCAL_08848	Chromosome_12	8453656	8462104	+	8449	0
TCAL_08849	Chromosome_12	8442888	8445604	+	2717	231
TCAL_13162	Chromosome_12	10824804	10825732	+	929	0
TCAL_13167	Chromosome_12	10981028	10982647	-	1620	181
TCAL_13165	Chromosome_12	10928581	10932774	-	4194	69
TCAL_13164	Chromosome_12	10888515	10889180	-	666	0
TCAL_13168	Chromosome_12	10997668	10998117	+	450	0
TCAL_13374	Chromosome_12	5665152	5666193	+	1042	166
TCAL_13800	Chromosome_12	4128066	4130278	+	2213	1
TCAL_13373	Chromosome_12	5662134	5672107	-	9974	297
TCAL_13370	Chromosome_12	15402048	15402356	+	309	0
TCAL_10724	Chromosome_12	6571756	6579329	+	7574	554
TCAL_10725	Chromosome_12	6583660	6585132	+	1473	6
TCAL_10726	Chromosome_12	6594524	6618737	-	24214	262
TCAL_14002	Chromosome_12	12485560	12486063	+	504	1083
TCAL_10722	Chromosome_12	6525677	6528097	-	2421	19
TCAL_10723	Chromosome_12	6546635	6555749	-	9115	302
TCAL_10728	Chromosome_12	6653645	6659558	-	5914	201
TCAL_10729	Chromosome_12	6672048	6675283	-	3236	1
TCAL_15538	Chromosome_12	6707040	6708669	-	1630	87
TCAL_15539	Chromosome_12	714760	715612	+	853	0
TCAL_15536	Chromosome_12	6461483	6462826	-	1344	63
TCAL_15537	Chromosome_12	6528718	6529896	-	1179	218
TCAL_15534	Chromosome_12	6386415	6387024	+	610	0
TCAL_15535	Chromosome_12	6431953	6432893	+	941	1
TCAL_15532	Chromosome_12	6232758	6233376	-	619	0
TCAL_15533	Chromosome_12	6333688	6334639	+	952	105
TCAL_15530	Chromosome_12	5730985	5737818	+	6834	195
TCAL_15531	Chromosome_12	5992841	5993495	+	655	0
TCAL_12818	Chromosome_12	5592815	5613881	+	21067	22
TCAL_12544	Chromosome_12	856050	858440	-	2391	1585
TCAL_12545	Chromosome_12	835670	856033	+	20364	576
TCAL_12542	Chromosome_12	873887	877362	-	3476	72
TCAL_12543	Chromosome_12	865779	868893	+	3115	7
TCAL_12540	Chromosome_12	893113	894080	+	968	14248
TCAL_12541	Chromosome_12	879333	882697	+	3365	0
TCAL_08862	Chromosome_12	8302891	8308770	-	5880	2
TCAL_08863	Chromosome_12	8298377	8302042	+	3666	1200
TCAL_08861	Chromosome_12	8329757	8355009	-	25253	383
TCAL_13491	Chromosome_12	13916088	13918321	-	2234	5117
TCAL_13141	Chromosome_12	123657	125584	-	1928	0
TCAL_13140	Chromosome_12	142911	144215	+	1305	137
TCAL_13143	Chromosome_12	117750	119910	-	2161	281
TCAL_13142	Chromosome_12	123690	124542	+	853	0
TCAL_13145	Chromosome_12	80409	82086	-	1678	0
TCAL_13144	Chromosome_12	96031	96986	-	956	17
TCAL_04794	Chromosome_12	1482783	1487232	+	4450	196
TCAL_04795	Chromosome_12	1489603	1494705	-	5103	7432
TCAL_04796	Chromosome_12	1501719	1509419	-	7701	228
TCAL_04797	Chromosome_12	1524017	1532155	+	8139	970
TCAL_04790	Chromosome_12	1419491	1437040	+	17550	104
TCAL_04791	Chromosome_12	1442340	1449965	+	7626	0
TCAL_04793	Chromosome_12	1463790	1476442	-	12653	63
TCAL_04798	Chromosome_12	1527767	1528588	-	822	0
TCAL_04799	Chromosome_12	1536390	1537759	+	1370	71
TCAL_10964	Chromosome_12	6855638	6863146	-	7509	130
TCAL_10965	Chromosome_12	6840043	6853684	-	13642	7
TCAL_10962	Chromosome_12	6895988	6904029	+	8042	616
TCAL_10963	Chromosome_12	6866775	6878232	-	11458	16
TCAL_13617	Chromosome_12	14036574	14045930	-	9357	16
TCAL_13616	Chromosome_12	14056472	14059096	-	2625	599
TCAL_13618	Chromosome_12	16676173	16684156	-	7984	14
TCAL_06489	Chromosome_12	9346691	9348225	-	1535	306
TCAL_09450	Chromosome_12	5425950	5432877	-	6928	179
TCAL_09451	Chromosome_12	5419489	5424687	-	5199	502
TCAL_09452	Chromosome_12	5404362	5418750	-	14389	754
TCAL_04556	Chromosome_12	3810236	3811171	-	936	6
TCAL_04557	Chromosome_12	3787613	3803279	+	15667	16
TCAL_04554	Chromosome_12	3838855	3841888	-	3034	0
TCAL_04555	Chromosome_12	3815891	3823189	-	7299	5
TCAL_04552	Chromosome_12	3862822	3869789	-	6968	1
TCAL_04553	Chromosome_12	3857653	3859951	-	2299	250
TCAL_04550	Chromosome_12	3878023	3878796	+	774	37
TCAL_04551	Chromosome_12	3871642	3877084	+	5443	165
TCAL_04559	Chromosome_12	3776618	3786188	-	9571	59
TCAL_16756	Chromosome_12	17871595	17882867	-	11273	3
TCAL_16754	Chromosome_12	17369250	17371412	+	2163	45
TCAL_13264	Chromosome_12	12009775	12016000	+	6226	95326
TCAL_13263	Chromosome_12	12036650	12037825	+	1176	0
TCAL_10768	Chromosome_12	13156488	13157951	-	1464	18175
TCAL_10769	Chromosome_12	13147833	13155816	+	7984	17
TCAL_15461	Chromosome_12	13581433	13582094	-	662	0
TCAL_10183	Chromosome_12	3569713	3580433	-	10721	115
TCAL_12726	Chromosome_12	14088746	14104960	-	16215	61
TCAL_12724	Chromosome_12	14121087	14135763	+	14677	113
TCAL_12725	Chromosome_12	14106095	14113803	-	7709	258
TCAL_12723	Chromosome_12	14124896	14135449	-	10554	10
TCAL_12721	Chromosome_12	11799890	11804265	+	4376	198
TCAL_13452	Chromosome_12	516005	532348	+	16344	99
TCAL_13988	Chromosome_12	6833509	6834131	-	623	3
TCAL_11634	Chromosome_12	9161873	9167242	-	5370	2533
TCAL_11631	Chromosome_12	9198697	9203712	-	5016	7088
TCAL_11630	Chromosome_12	9241626	9249614	+	7989	1
TCAL_11633	Chromosome_12	9178154	9181221	-	3068	9984
TCAL_11632	Chromosome_12	9193274	9197467	+	4194	1221
TCAL_10376	Chromosome_12	6808600	6822649	+	14050	4457
TCAL_10375	Chromosome_12	6800170	6803034	-	2865	104
TCAL_10374	Chromosome_12	6793698	6798587	+	4890	89
TCAL_10373	Chromosome_12	6772120	6777688	+	5569	218
TCAL_10372	Chromosome_12	6758035	6771006	+	12972	9
TCAL_10371	Chromosome_12	6750570	6754355	-	3786	31
TCAL_10370	Chromosome_12	6732833	6736019	-	3187	896
TCAL_13004	Chromosome_12	9936126	9937859	+	1734	1103
TCAL_17442	Chromosome_12	9906819	9908493	+	1675	92
TCAL_03009	Chromosome_12	7401576	7409533	-	7958	84
TCAL_13863	Chromosome_12	12642889	12643441	+	553	0
TCAL_03005	Chromosome_12	7367101	7372041	+	4941	92
TCAL_03004	Chromosome_12	7360991	7362710	+	1720	45
TCAL_03006	Chromosome_12	7372175	7379079	-	6905	844
TCAL_03000	Chromosome_12	7331067	7339189	+	8123	16
TCAL_03003	Chromosome_12	7360083	7360427	+	345	325
TCAL_03002	Chromosome_12	7344858	7355646	-	10789	198
TCAL_07786	Chromosome_12	2056787	2075821	+	19035	478
TCAL_07787	Chromosome_12	2098338	2104281	+	5944	235
TCAL_07784	Chromosome_12	2021839	2030294	+	8456	86
TCAL_07785	Chromosome_12	2045802	2050998	-	5197	4181
TCAL_07782	Chromosome_12	2010131	2010617	+	487	1
TCAL_07783	Chromosome_12	2012377	2018766	+	6390	11
TCAL_07788	Chromosome_12	2117714	2119930	-	2217	50
TCAL_07789	Chromosome_12	2144399	2147196	+	2798	1380
TCAL_13248	Chromosome_12	5700712	5705703	-	4992	86
TCAL_13249	Chromosome_12	5708943	5710077	-	1135	43
TCAL_13243	Chromosome_12	16301010	16303549	+	2540	492
TCAL_13246	Chromosome_12	16276852	16280846	-	3995	10
TCAL_13247	Chromosome_12	5695858	5700708	+	4851	10
TCAL_13244	Chromosome_12	16284221	16293263	-	9043	53
TCAL_13245	Chromosome_12	16285825	16291346	+	5522	0
TCAL_16748	Chromosome_12	14872262	14878560	-	6299	0
TCAL_16749	Chromosome_12	15175747	15186428	-	10682	95
TCAL_16740	Chromosome_12	11613543	11624952	-	11410	1
TCAL_16741	Chromosome_12	1268771	1269718	-	948	0
TCAL_16742	Chromosome_12	12344748	12345729	+	982	210
TCAL_16743	Chromosome_12	12504765	12504980	+	216	0
TCAL_16744	Chromosome_12	13876476	13881647	-	5172	5371
TCAL_16745	Chromosome_12	13899212	13900630	-	1419	35962
TCAL_16746	Chromosome_12	14063181	14065686	+	2506	0
TCAL_16747	Chromosome_12	14494368	14531676	-	37309	26
TCAL_14463	Chromosome_12	11990903	11992536	+	1634	15327
TCAL_14462	Chromosome_12	11535304	11535552	+	249	12
TCAL_14461	Chromosome_12	11355074	11357893	-	2820	0
TCAL_14460	Chromosome_12	10897683	10904812	+	7130	2
TCAL_14467	Chromosome_12	13332399	13334015	+	1617	10
TCAL_14466	Chromosome_12	12746492	12746821	+	330	0
TCAL_14465	Chromosome_12	12593424	12597068	-	3645	4
TCAL_14464	Chromosome_12	12349155	12350284	+	1130	0
TCAL_14469	Chromosome_12	13422447	13426656	-	4210	0
TCAL_14468	Chromosome_12	13360393	13361031	-	639	37
TCAL_13658	Chromosome_12	2687358	2688034	-	677	0
TCAL_09574	Chromosome_12	15831055	15832535	-	1481	0
TCAL_12683	Chromosome_12	12888281	12904743	+	16463	40
TCAL_12684	Chromosome_12	12910785	12914256	+	3472	320
TCAL_12687	Chromosome_12	13040263	13041000	-	738	0
TCAL_12686	Chromosome_12	12975785	12978676	-	2892	241
TCAL_12469	Chromosome_12	15451665	15460536	+	8872	107
TCAL_12468	Chromosome_12	15488437	15505435	+	16999	37
TCAL_06502	Chromosome_12	9532586	9540435	+	7850	13
TCAL_06501	Chromosome_12	9530114	9530755	+	642	4
TCAL_06500	Chromosome_12	9487426	9491302	+	3877	0
TCAL_06506	Chromosome_12	9564728	9565823	+	1096	19
TCAL_06505	Chromosome_12	9557080	9564041	+	6962	132
TCAL_06504	Chromosome_12	9548738	9553047	+	4310	153
TCAL_06310	Chromosome_12	4677098	4678375	-	1278	363
TCAL_13225	Chromosome_12	2906380	2920207	-	13828	47
TCAL_13226	Chromosome_12	2910909	2913382	+	2474	62
TCAL_13227	Chromosome_12	2915893	2929706	+	13814	18
TCAL_16766	Chromosome_12	3500099	3503046	+	2948	0
TCAL_16767	Chromosome_12	3612201	3616611	-	4411	35
TCAL_16764	Chromosome_12	323095	328872	+	5778	497
TCAL_16765	Chromosome_12	3498039	3499467	+	1429	0
TCAL_16762	Chromosome_12	2644846	2646003	+	1158	0
TCAL_16763	Chromosome_12	2952430	2958307	-	5878	0
TCAL_16760	Chromosome_12	2264993	2275077	+	10085	33
TCAL_16761	Chromosome_12	2400039	2414512	+	14474	12
TCAL_16768	Chromosome_12	3921258	3927741	+	6484	0
