SeqName,Description
TCAL_17397-PA,Similar to Heat shock 70 kDa protein 1 (Oryzias latipes)
TCAL_17396-PA,"secreted protein, putative"
TCAL_17395-PA,Protein of unknown function
TCAL_17394-PA,Protein of unknown function
TCAL_17393-PA,Similar to SYNE1 Nesprin-1 (Homo sapiens)
TCAL_17392-PA,Similar to twk-18 TWiK family of potassium channels protein 18 (Caenorhabditis elegans)
TCAL_17391-PA,"Similar to exgA Probable glucan 1,3-beta-glucosidase A (Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100))"
TCAL_17390-PA,Similar to Slc12a3 Solute carrier family 12 member 3 (Mus musculus)
TCAL_17389-PA,Protein of unknown function
TCAL_17388-PA,Protein of unknown function
TCAL_17387-PA,amiloride-sensitive sodium channel subunit beta-like
TCAL_17386-PA,Protein of unknown function
TCAL_17385-PA,Similar to DNApol-delta DNA polymerase delta catalytic subunit (Drosophila melanogaster)
TCAL_17384-PA,Similar to DNApol-delta DNA polymerase delta catalytic subunit (Drosophila melanogaster)
TCAL_17383-PA,max X isoform X1
TCAL_17382-PA,Similar to U2af50 Splicing factor U2AF 50 kDa subunit (Drosophila melanogaster)
TCAL_17381-PA,Protein of unknown function
TCAL_17380-PA,Protein of unknown function
TCAL_17379-PA,Protein of unknown function
TCAL_17378-PA,Protein of unknown function
TCAL_17377-PA,Protein of unknown function
TCAL_17376-PA,Protein of unknown function
TCAL_17375-PA,Protein of unknown function
TCAL_17374-PA,Protein of unknown function
TCAL_17373-PA,Similar to Ptges2 Prostaglandin E synthase 2 (Mus musculus)
TCAL_17372-PA,Similar to Cyp2j3 Cytochrome P450 2J3 (Rattus norvegicus)
TCAL_17371-PA,Protein of unknown function
TCAL_17370-PA,Similar to Atp6v0b V-type proton ATPase 21 kDa proteolipid subunit (Mus musculus)
TCAL_17369-PA,Protein of unknown function
TCAL_17368-PA,Protein of unknown function
TCAL_17367-PA,Similar to Gipc3 PDZ domain-containing protein GIPC3 (Mus musculus)
TCAL_17366-PA,Protein of unknown function
TCAL_17365-PA,Similar to Dda1 DET1- and DDB1-associated protein 1 (Mus musculus)
TCAL_17364-PA,Similar to Bre1 E3 ubiquitin-protein ligase Bre1 (Drosophila melanogaster)
TCAL_17363-PA,"Similar to Actin, muscle (Manduca sexta)"
TCAL_17362-PA,Similar to CG10795 TM2 domain-containing protein CG10795 (Drosophila melanogaster)
TCAL_17361-PA,Protein of unknown function
TCAL_17360-PA,Similar to ZNF271 Zinc finger protein 271 (Pongo abelii)
TCAL_17359-PA,Similar to C4orf33 UPF0462 protein C4orf33 (Homo sapiens)
TCAL_17358-PA,Similar to tag-125 WD repeat-containing protein tag-125 (Caenorhabditis briggsae)
TCAL_17357-PA,Similar to SACM1L Phosphatidylinositide phosphatase SAC1 (Bos taurus)
TCAL_14087-PA,Similar to FR FMRFamide receptor (Drosophila melanogaster)
TCAL_14086-PA,Similar to Tnks Tankyrase (Drosophila melanogaster)
TCAL_14027-PA,Protein of unknown function
TCAL_14023-PA,Protein of unknown function
TCAL_14014-PA,Protein of unknown function
TCAL_13885-PA,Similar to znf711 Zinc finger protein 711 (Danio rerio)
TCAL_13879-PA,Protein of unknown function
TCAL_13784-PA,Protein of unknown function
TCAL_13778-PA,Similar to SLC18B1 MFS-type transporter SLC18B1 (Homo sapiens)
TCAL_13735-PA,Similar to Gfpt1 Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (Rattus norvegicus)
TCAL_13659-PA,Protein of unknown function
TCAL_13648-PA,Protein of unknown function
TCAL_13534-PA,Similar to C-type lectin 9a (Crotalus adamanteus)
TCAL_13520-PA,Similar to Histone H1 (Tigriopus californicus)
TCAL_13518-PA,Similar to His4 Histone H4 (Tigriopus californicus)
TCAL_13489-PA,Similar to Mafg Transcription factor MafG (Rattus norvegicus)
TCAL_13377-PA,Similar to ZNF713 Zinc finger protein 713 (Homo sapiens)
TCAL_13376-PA,Protein of unknown function
TCAL_13375-PA,Protein of unknown function
TCAL_13354-PA,Protein of unknown function
TCAL_13268-PA,Similar to fundc1-b FUN14 domain-containing protein 1B (Xenopus laevis)
TCAL_13222-PA,Similar to VCATH Viral cathepsin (Epiphyas postvittana nucleopolyhedrovirus)
TCAL_13039-PA,Protein of unknown function
TCAL_13004-PA,Similar to CHIA Acidic mammalian chitinase (Bos taurus)
TCAL_12948-PA,Protein of unknown function
TCAL_12919-PA,Similar to Histone H2B.3 (Tigriopus californicus)
TCAL_12806-PA,Similar to scu 3-hydroxyacyl-CoA dehydrogenase type-2 (Drosophila melanogaster)
TCAL_12757-PA,Similar to CPNE9 Copine-9 (Homo sapiens)
TCAL_12519-PA,Similar to TPO Thyroid peroxidase (Sus scrofa)
TCAL_12350-PA,Protein of unknown function
TCAL_12343-PA,Protein of unknown function
TCAL_12298-PA,Similar to elB Zinc finger protein Elbow (Drosophila melanogaster)
TCAL_12232-PA,Similar to FR FMRFamide receptor (Drosophila melanogaster)
TCAL_12074-PA,Protein of unknown function
TCAL_12073-PA,Protein of unknown function
TCAL_12007-PA,Similar to Chst14 Carbohydrate sulfotransferase 14 (Mus musculus)
TCAL_12002-PA,Similar to VKORC1L1 Vitamin K epoxide reductase complex subunit 1-like protein 1 (Homo sapiens)
TCAL_11689-PA,Similar to Gopc Golgi-associated PDZ and coiled-coil motif-containing protein (Mus musculus)
TCAL_11635-PA,Protein of unknown function
TCAL_11626-PA,Similar to Apex2 DNA-(apurinic or apyrimidinic site) lyase 2 (Mus musculus)
TCAL_11553-PA,Protein of unknown function
TCAL_11527-PA,Similar to Cd209c CD209 antigen-like protein C (Mus musculus)
TCAL_11286-PA,Similar to RFC4 Replication factor C subunit 4 (Homo sapiens)
TCAL_10885-PA,Similar to pgl 6-phosphogluconolactonase (Bacillus subtilis (strain 168))
TCAL_10629-PA,Similar to Hpcal1 Hippocalcin-like protein 1 (Rattus norvegicus)
TCAL_10533-PA,Similar to DHCR24 Delta(24)-sterol reductase (Homo sapiens)
TCAL_10179-PA,Similar to Venom allergen 3 (Solenopsis richteri)
TCAL_10136-PA,Similar to CG3714 Nicotinate phosphoribosyltransferase (Drosophila melanogaster)
TCAL_10122-PA,Protein of unknown function
TCAL_10041-PA,Protein of unknown function
TCAL_09955-PA,Protein of unknown function
TCAL_09861-PA,methyltransferase 27 isoform X2
TCAL_09775-PA,Protein of unknown function
TCAL_09411-PA,Similar to NT1 Neurotrophin 1 (Drosophila melanogaster)
TCAL_09348-PA,Similar to resilin Pro-resilin (Drosophila melanogaster)
TCAL_09290-PA,Protein of unknown function
TCAL_09033-PA,neuroligin- Y-linked-like
TCAL_08704-PA,Similar to CPA2 Carboxypeptidase A2 (Homo sapiens)
TCAL_08614-PA,"Similar to DODA DOPA 4,5-dioxygenase (Amanita muscaria)"
TCAL_08241-PA,Similar to Serine protease inhibitor dipetalogastin (Fragment) (Dipetalogaster maximus)
TCAL_08083-PA,"Similar to Mtfmt Methionyl-tRNA formyltransferase, mitochondrial (Rattus norvegicus)"
TCAL_07611-PA,Similar to resilin Pro-resilin (Drosophila melanogaster)
TCAL_07579-PA,Protein of unknown function
TCAL_07382-PA,Protein of unknown function
TCAL_07321-PA,Protein of unknown function
TCAL_07137-PA,Similar to La protein homolog (Aedes albopictus)
TCAL_06743-PA,Protein of unknown function
TCAL_06728-PA,Similar to hsp70 Heat shock 70 kDa protein (Oncorhynchus tshawytscha)
TCAL_06476-PA,Protein of unknown function
TCAL_06309-PA,Similar to CTSH Pro-cathepsin H (Bos taurus)
TCAL_06293-PA,Similar to Rhbdd1 Rhomboid-related protein 4 (Mus musculus)
TCAL_06108-PA,Similar to SYNE1 Nesprin-1 (Homo sapiens)
TCAL_05802-PA,Similar to Kcnk13 Potassium channel subfamily K member 13 (Mus musculus)
TCAL_05280-PA,"Similar to exgA Probable glucan 1,3-beta-glucosidase A (Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100))"
TCAL_05176-PA,Similar to SLC12A2 Solute carrier family 12 member 2 (Homo sapiens)
TCAL_05160-PA,Protein of unknown function
TCAL_05009-PA,degenerin unc-8-like
TCAL_04566-PA,Similar to Venom allergen 5 (Rhynchium brunneum)
TCAL_04428-PA,Similar to DNApol-delta DNA polymerase delta catalytic subunit (Drosophila melanogaster)
TCAL_03955-PA,Similar to Spo11 Meiotic recombination protein SPO11 (Mus musculus)
TCAL_03393-PA,Similar to U2af50 Splicing factor U2AF 50 kDa subunit (Drosophila melanogaster)
TCAL_03119-PA,Protein of unknown function
TCAL_03007-PA,Protein of unknown function
TCAL_02958-PA,Protein of unknown function
TCAL_02588-PA,Protein of unknown function
TCAL_02281-PA,Similar to DNMT1 DNA (cytosine-5)-methyltransferase 1 (Homo sapiens)
TCAL_02255-PA,Protein of unknown function
TCAL_02023-PA,Similar to Cyp2j3 Cytochrome P450 2J3 (Rattus norvegicus)
TCAL_02019-PA,Protein of unknown function
TCAL_01766-PA,Similar to Atp6v0b V-type proton ATPase 21 kDa proteolipid subunit (Mus musculus)
TCAL_01633-PA,Protein of unknown function
TCAL_01632-PA,Protein of unknown function
TCAL_01631-PA,Similar to Gipc1 PDZ domain-containing protein GIPC1 (Rattus norvegicus)
TCAL_01618-PA,Similar to rab7 Ras-related protein rab7 (Epinephelus coioides)
TCAL_01617-PA,Protein of unknown function
TCAL_01594-PA,Similar to Bre1 E3 ubiquitin-protein ligase Bre1 (Drosophila melanogaster)
TCAL_01298-PA,"Similar to Actin, muscle (Manduca sexta)"
TCAL_00486-PA,Similar to CG10795 TM2 domain-containing protein CG10795 (Drosophila melanogaster)
TCAL_00484-PA,Similar to EMC7 ER membrane protein complex subunit 7 (Macaca fascicularis)
TCAL_00317-PA,Protein of unknown function
TCAL_00168-PA,Similar to D3Ertd751e UPF0462 protein C4orf33 homolog (Mus musculus)
TCAL_00072-PA,Similar to tag-125 WD repeat-containing protein tag-125 (Caenorhabditis briggsae)
TCAL_00034-PA,Similar to SACM1L Phosphatidylinositide phosphatase SAC1 (Bos taurus)
TCAL_04518-PA,Similar to 140up RPII140-upstream gene protein (Drosophila melanogaster)
TCAL_06044-PA,Similar to aaaT L-amino acid N-acetyltransferase AaaT (Escherichia coli (strain K12))
TCAL_03897-PA,Similar to Abl Tyrosine-protein kinase Abl (Drosophila melanogaster)
TCAL_14227-PA,Similar to acdh-11 Acyl-CoA dehydrogenase family member 11 (Caenorhabditis elegans)
TCAL_13085-PA,Similar to Acnat2 Acyl-coenzyme A amino acid N-acyltransferase 2 (Rattus norvegicus)
TCAL_11942-PA,Similar to ACP20 Adult-specific cuticular protein ACP-20 (Tenebrio molitor)
TCAL_03695-PA,Similar to ADORA2A Adenosine receptor A2a (Cavia porcellus)
TCAL_00601-PA,Similar to aff-1 Cell fusion protein aff-1 (Caenorhabditis elegans)
TCAL_09286-PA,Similar to ANKFN1 Ankyrin repeat and fibronectin type-III domain-containing protein 1 (Homo sapiens)
TCAL_09070-PA,Similar to aos Protein giant-lens (Drosophila melanogaster)
TCAL_05645-PA,Similar to Aper1 Peritrophin-1 (Anopheles gambiae)
TCAL_11499-PA,Similar to APOL4 Apolipoprotein L4 (Homo sapiens)
TCAL_07524-PA,Similar to ARL16 ADP-ribosylation factor-like protein 16 (Homo sapiens)
TCAL_12150-PA,Similar to asic4 Acid-sensing ion channel 4 (Danio rerio)
TCAL_14346-PA,Similar to At5g37870 Putative E3 ubiquitin-protein ligase SINA-like 6 (Arabidopsis thaliana)
TCAL_16565-PA,Similar to atf1 Transcription factor atf1 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
TCAL_12046-PA,Similar to Atp6ap1 V-type proton ATPase subunit S1 (Mus musculus)
TCAL_17292-PA,Similar to AUTS2 Autism susceptibility gene 2 protein (Homo sapiens)
TCAL_05998-PA,Similar to B0563.6 Probable G-protein coupled receptor B0563.6 (Caenorhabditis elegans)
TCAL_11154-PA,Similar to bab1 Protein bric-a-brac 1 (Drosophila melanogaster)
TCAL_14543-PA,Similar to BP10 Blastula protease 10 (Paracentrotus lividus)
TCAL_16464-PA,Similar to BTBD2 BTB/POZ domain-containing protein 2 (Homo sapiens)
TCAL_16221-PA,Similar to Btn1a1 Butyrophilin subfamily 1 member A1 (Mus musculus)
TCAL_02969-PA,Similar to C18orf63 Uncharacterized protein C18orf63 (Homo sapiens)
TCAL_13120-PA,Similar to cadm3 Cell adhesion molecule 3 (Xenopus laevis)
TCAL_15105-PA,Similar to Ccdc169 Coiled-coil domain-containing protein 169 (Mus musculus)
TCAL_14394-PA,Similar to CCDC191 Coiled-coil domain-containing protein 191 (Homo sapiens)
TCAL_05732-PA,Similar to CDC1 Cell division control protein 1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
TCAL_04839-PA,Similar to CENPF Centromere protein F (Homo sapiens)
TCAL_08172-PA,Similar to CENPI Centromere protein I (Gallus gallus)
TCAL_01050-PA,Similar to CEP164 Centrosomal protein of 164 kDa (Homo sapiens)
TCAL_15555-PA,Similar to CEP192 Centrosomal protein of 192 kDa (Homo sapiens)
TCAL_15278-PA,Similar to CFAP44 Cilia- and flagella-associated protein 44 (Homo sapiens)
TCAL_10963-PA,Similar to CG45057 TPPP family protein CG45057 (Drosophila melanogaster)
TCAL_09230-PA,Similar to CG4585 Ceramide phosphoethanolamine synthase (Drosophila melanogaster)
TCAL_11701-PA,Similar to CG7065 Uncharacterized protein CG7065 (Drosophila melanogaster)
TCAL_08318-PA,Similar to CG9801 PP2C-like domain-containing protein CG9801 (Drosophila melanogaster)
TCAL_09207-PA,Similar to CGGBP1 CGG triplet repeat-binding protein 1 (Homo sapiens)
TCAL_09377-PA,Similar to Chchd1 Coiled-coil-helix-coiled-coil-helix domain-containing protein 1 (Mus musculus)
TCAL_10551-PA,Similar to CILP2 Cartilage intermediate layer protein 2 (Homo sapiens)
TCAL_15277-PA,Similar to Circumsporozoite protein (Plasmodium yoelii yoelii)
TCAL_01660-PA,Similar to CLRN3 Clarin-3 (Homo sapiens)
TCAL_16380-PA,Similar to COL17A1 Collagen alpha-1(XVII) chain (Homo sapiens)
TCAL_03448-PA,Similar to Cp190 Centrosome-associated zinc finger protein CP190 (Drosophila melanogaster)
TCAL_04786-PA,Similar to cpg-2 Chondroitin proteoglycan-2 (Caenorhabditis elegans)
TCAL_05345-PA,Similar to Crygd Gamma-crystallin D (Rattus norvegicus)
TCAL_00129-PA,Similar to Crz Pro-corazonin (Apis mellifera)
TCAL_08223-PA,Similar to Csmd3 CUB and sushi domain-containing protein 3 (Mus musculus)
TCAL_14587-PA,Similar to ctc1 CST complex subunit CTC1 (Danio rerio)
TCAL_01233-PA,Similar to cti6 Putative histone deacetylase complex subunit cti6 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
TCAL_07235-PA,Similar to cut-1 Cuticlin-1 (Caenorhabditis elegans)
TCAL_13336-PA,Similar to cut-1 Cuticlin-1 (Caenorhabditis elegans)
TCAL_16696-PA,Similar to Cuticle protein 7 (Blaberus craniifer)
TCAL_12953-PA,Similar to Cuticle protein 8 (Blaberus craniifer)
TCAL_11176-PA,Similar to daf-37 G-protein coupled receptor daf-37 (Caenorhabditis elegans)
TCAL_11277-PA,Similar to Dat Dopamine N-acetyltransferase (Drosophila melanogaster)
TCAL_09525-PA,Similar to DDB_G0284059 SET and MYND domain-containing protein DDB_G0284059 (Dictyostelium discoideum)
TCAL_14622-PA,Similar to DDB_G0285445 F-box/WD repeat-containing protein A-like protein (Dictyostelium discoideum)
TCAL_07451-PA,Similar to DDR48 Stress protein DDR48 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
TCAL_14252-PA,Similar to deaA Chitin disaccharide deacetylase (Vibrio alginolyticus)
TCAL_14253-PA,Similar to deaA Chitin disaccharide deacetylase (Vibrio alginolyticus)
TCAL_15140-PA,Similar to deaA Chitin disaccharide deacetylase (Vibrio alginolyticus)
TCAL_16506-PA,Similar to deaA Chitin disaccharide deacetylase (Vibrio alginolyticus)
TCAL_10311-PA,Similar to dhs-27 Uncharacterized oxidoreductase dhs-27 (Caenorhabditis elegans)
TCAL_00437-PA,"Similar to Diablo Diablo homolog, mitochondrial (Mus musculus)"
TCAL_05312-PA,Similar to Dlish SH3 domain-containing protein Dlish (Drosophila melanogaster)
TCAL_03025-PA,Similar to EAG_05065 Tachykinins (Camponotus floridanus)
TCAL_16191-PA,Similar to Edg84A Pupal cuticle protein Edg-84A (Drosophila melanogaster)
TCAL_15040-PA,Similar to EFCC1 EF-hand and coiled-coil domain-containing protein 1 (Bos taurus)
TCAL_03370-PA,Similar to Endocuticle structural glycoprotein ABD-4 (Locusta migratoria)
TCAL_06501-PA,Similar to F54H12.2 Uncharacterized protein F54H12.2 (Caenorhabditis elegans)
TCAL_05780-PA,Similar to FAM184A Protein FAM184A (Homo sapiens)
TCAL_12171-PA,Similar to Fam234b Protein FAM234B (Mus musculus)
TCAL_05081-PA,Similar to FAM8A1 Protein FAM8A1 (Homo sapiens)
TCAL_06294-PA,Similar to Fas3 Fasciclin-3 (Drosophila melanogaster)
TCAL_08203-PA,Similar to fax Failed axon connections (Drosophila melanogaster)
TCAL_08205-PA,Similar to fax Failed axon connections (Drosophila melanogaster)
TCAL_04443-PA,Similar to Fbf1 Fas-binding factor 1 (Mus musculus)
TCAL_03741-PA,Similar to FBL4 F-box/LRR-repeat protein 4 (Arabidopsis thaliana)
TCAL_16387-PA,Similar to FBXO7 F-box only protein 7 (Homo sapiens)
TCAL_14601-PA,Similar to Fgfrl1 Fibroblast growth factor receptor-like 1 (Rattus norvegicus)
TCAL_10997-PA,Similar to FMRFamide-related peptides type HF-4 (Helix aspersa)
TCAL_01464-PA,Similar to FR FMRFamide receptor (Drosophila melanogaster)
TCAL_01922-PA,Similar to FR FMRFamide receptor (Drosophila melanogaster)
TCAL_02903-PA,Similar to FR FMRFamide receptor (Drosophila melanogaster)
TCAL_03327-PA,Similar to FR FMRFamide receptor (Drosophila melanogaster)
TCAL_03475-PA,Similar to FR FMRFamide receptor (Drosophila melanogaster)
TCAL_05786-PA,Similar to FR FMRFamide receptor (Drosophila melanogaster)
TCAL_06665-PA,Similar to FR FMRFamide receptor (Drosophila melanogaster)
TCAL_09309-PA,Similar to FR FMRFamide receptor (Drosophila melanogaster)
TCAL_10570-PA,Similar to FR FMRFamide receptor (Drosophila melanogaster)
TCAL_11824-PA,Similar to FR FMRFamide receptor (Drosophila melanogaster)
TCAL_13456-PA,Similar to FR FMRFamide receptor (Drosophila melanogaster)
TCAL_13459-PA,Similar to FR FMRFamide receptor (Drosophila melanogaster)
TCAL_14009-PA,Similar to FR FMRFamide receptor (Drosophila melanogaster)
TCAL_14260-PA,Similar to FR FMRFamide receptor (Drosophila melanogaster)
TCAL_14330-PA,Similar to FR FMRFamide receptor (Drosophila melanogaster)
TCAL_14565-PA,Similar to FR FMRFamide receptor (Drosophila melanogaster)
TCAL_14633-PA,Similar to FR FMRFamide receptor (Drosophila melanogaster)
TCAL_15554-PA,Similar to FR FMRFamide receptor (Drosophila melanogaster)
TCAL_16382-PA,Similar to FR FMRFamide receptor (Drosophila melanogaster)
TCAL_09022-PA,Similar to fru Sex determination protein fruitless (Drosophila melanogaster)
TCAL_04813-PA,"Similar to FucT6 Alpha-(1,6)-fucosyltransferase (Drosophila melanogaster)"
TCAL_02417-PA,"Similar to galt-1 Beta-1,4-galactosyltransferase galt-1 (Caenorhabditis elegans)"
TCAL_12009-PA,"Similar to galt-1 Beta-1,4-galactosyltransferase galt-1 (Caenorhabditis elegans)"
TCAL_12011-PA,"Similar to galt-1 Beta-1,4-galactosyltransferase galt-1 (Caenorhabditis elegans)"
TCAL_12012-PA,"Similar to galt-1 Beta-1,4-galactosyltransferase galt-1 (Caenorhabditis elegans)"
TCAL_12398-PA,"Similar to galt-1 Beta-1,4-galactosyltransferase galt-1 (Caenorhabditis elegans)"
TCAL_13478-PA,"Similar to galt-1 Beta-1,4-galactosyltransferase galt-1 (Caenorhabditis elegans)"
TCAL_10692-PA,Similar to GFRA3 GDNF family receptor alpha-3 (Homo sapiens)
TCAL_08395-PA,Similar to Gm2a Ganglioside GM2 activator (Mus musculus)
TCAL_14254-PA,Similar to Golga3 Golgin subfamily A member 3 (Mus musculus)
TCAL_14376-PA,Similar to Grd Gamma-aminobutyric acid receptor alpha-like (Drosophila melanogaster)
TCAL_14625-PA,"Similar to grid2 Glutamate receptor ionotropic, delta-2 (Danio rerio)"
TCAL_00057-PA,Similar to GUCA1B Guanylyl cyclase-activating protein 2 (Bos taurus)
TCAL_07841-PA,Similar to H Protein hairless (Drosophila melanogaster)
TCAL_10042-PA,Similar to Harbi1 Putative nuclease HARBI1 (Mus musculus)
TCAL_16110-PA,Similar to HCRTR1 Orexin receptor type 1 (Sus scrofa)
TCAL_16895-PA,Similar to hig Locomotion-related protein Hikaru genki (Drosophila melanogaster)
TCAL_09878-PA,Similar to Hmcn1 Hemicentin-1 (Mus musculus)
TCAL_09938-PA,Similar to hrg-1 Heme transporter hrg-1 (Caenorhabditis elegans)
TCAL_01457-PA,Similar to IGF2R Cation-independent mannose-6-phosphate receptor (Homo sapiens)
TCAL_05463-PA,Similar to iglr-2 Immunoglobulin domain and leucine-rich repeat-containing protein 2 (Caenorhabditis elegans)
TCAL_07476-PA,Similar to Ir25a Ionotropic receptor 25a (Drosophila melanogaster)
TCAL_12145-PA,Similar to Ir40a Ionotropic receptor 40a (Drosophila melanogaster)
TCAL_13475-PA,Similar to Ir40a Ionotropic receptor 40a (Drosophila melanogaster)
TCAL_07039-PA,Similar to Ir93a Ionotropic receptor 93a (Drosophila melanogaster)
TCAL_15444-PA,Similar to ivns1abp Influenza virus NS1A-binding protein homolog (Xenopus laevis)
TCAL_03488-PA,Similar to K02A2.6 Uncharacterized protein K02A2.6 (Caenorhabditis elegans)
TCAL_05007-PA,Similar to K02A2.6 Uncharacterized protein K02A2.6 (Caenorhabditis elegans)
TCAL_06291-PA,Similar to K02A2.6 Uncharacterized protein K02A2.6 (Caenorhabditis elegans)
TCAL_06480-PA,Similar to K02A2.6 Uncharacterized protein K02A2.6 (Caenorhabditis elegans)
TCAL_07409-PA,Similar to K02A2.6 Uncharacterized protein K02A2.6 (Caenorhabditis elegans)
TCAL_09540-PA,Similar to K02A2.6 Uncharacterized protein K02A2.6 (Caenorhabditis elegans)
TCAL_12316-PA,Similar to K02A2.6 Uncharacterized protein K02A2.6 (Caenorhabditis elegans)
TCAL_12759-PA,Similar to K02A2.6 Uncharacterized protein K02A2.6 (Caenorhabditis elegans)
TCAL_13405-PA,Similar to K02A2.6 Uncharacterized protein K02A2.6 (Caenorhabditis elegans)
TCAL_13682-PA,Similar to K02A2.6 Uncharacterized protein K02A2.6 (Caenorhabditis elegans)
TCAL_14072-PA,Similar to K02A2.6 Uncharacterized protein K02A2.6 (Caenorhabditis elegans)
TCAL_14528-PA,Similar to K02A2.6 Uncharacterized protein K02A2.6 (Caenorhabditis elegans)
TCAL_15163-PA,Similar to K02A2.6 Uncharacterized protein K02A2.6 (Caenorhabditis elegans)
TCAL_15219-PA,Similar to K02A2.6 Uncharacterized protein K02A2.6 (Caenorhabditis elegans)
